Date,Predicted: 
2014-12-01,30.43457311805767
2014-12-02,31.65560549746013
2014-12-03,18.306380518776223
2014-12-04,31.43589939137891
2014-12-05,23.818158134075787
2014-12-06,21.346389085016938
2014-12-07,22.959651383923216
2014-12-08,24.90248154272504
2014-12-09,20.058072495686446
2014-12-10,18.536160707475716
2014-12-11,19.507099796024733
2014-12-12,21.959088415498655
2014-12-13,25.625546187639117
2014-12-14,24.562401856164456
2014-12-15,27.906888892432306
2014-12-16,17.04274926028424
2014-12-17,23.646114214648946
2014-12-18,26.085201368428415
2014-12-19,25.600494984844687
2014-12-20,25.383613335298122
2014-12-21,15.022009798847506
2014-12-22,13.784884886417302
2014-12-23,14.203929901043779
2014-12-24,16.896650345171366
2014-12-25,30.401744508138563
2014-12-26,34.00289193584672
2014-12-27,26.726799475024762
2014-12-28,27.750191228321313
2014-12-29,30.477620691319913
2014-12-30,29.75450606501775
2014-12-31,25.711734118932327
